id_venta_detalle,id_articulo,cantidad,precio_compra,precio_venta,descuento,id_venta,id_promocion
401,42,1,"36.00","40.00","0.00",201,1
402,45,1,"26.00","30.00","4.50",202,4
403,46,2,"26.00","30.00","0.00",203,1
404,21,1,"21.00","25.00","0.00",204,1
405,54,1,"80.00","89.00","0.00",205,1
406,19,1,"18.00","20.00","0.00",206,1
407,67,2,"110.00","120.00","5.00",207,2
408,11,1,"16.00","18.00","6.00",208,3
409,25,1,"24.00","28.00","3.00",209,5
410,71,1,"90.00","99.00","0.00",210,1
411,24,1,"24.00","28.00","0.00",211,1
412,98,1,"50.00","59.00","0.00",212,1
413,12,2,"18.00","20.00","5.50",213,6
414,88,1,"46.00","55.00","3.00",214,5
415,30,3,"26.00","30.00","4.50",215,4
416,46,1,"26.00","30.00","0.00",216,1
417,97,1,"50.00","59.00","0.00",217,1
418,94,2,"46.00","55.00","5.00",218,2
419,95,3,"50.00","59.00","0.00",219,1
420,41,1,"32.00","36.00","0.00",220,1
421,37,1,"36.00","40.00","0.00",221,1
422,4,1,"22.00","26.00","4.50",222,4
423,40,1,"32.00","36.00","0.00",223,1
424,84,1,"140.00","149.00","4.50",224,4
425,28,2,"32.00","36.00","0.00",225,1
426,94,2,"46.00","55.00","0.00",226,1
427,19,1,"18.00","20.00","0.00",227,1
428,36,2,"36.00","40.00","0.00",228,1
429,15,1,"18.00","20.00","0.00",229,1
430,89,2,"46.00","55.00","0.00",230,1
431,52,1,"80.00","89.00","4.50",231,4
432,79,1,"140.00","149.00","0.00",232,1
433,94,1,"46.00","55.00","0.00",233,1
434,1,1,"21.00","25.00","0.00",234,1
435,72,4,"90.00","99.00","6.00",235,3
436,4,1,"22.00","26.00","0.00",236,1
437,95,2,"50.00","59.00","5.50",237,6
438,93,1,"46.00","55.00","5.00",238,2
439,42,1,"36.00","40.00","0.00",239,1
440,42,1,"36.00","40.00","5.00",240,2
441,52,1,"80.00","89.00","0.00",241,1
442,40,1,"32.00","36.00","0.00",242,1
443,8,2,"14.00","16.00","5.50",243,6
444,89,4,"46.00","55.00","4.50",244,4
445,79,1,"140.00","149.00","0.00",245,1
446,13,1,"18.00","20.00","0.00",246,1
447,65,3,"110.00","120.00","0.00",247,1
448,98,3,"50.00","59.00","3.00",248,5
449,17,1,"18.00","20.00","0.00",249,1
450,4,1,"22.00","26.00","3.00",250,5
451,81,1,"140.00","149.00","5.50",251,6
452,37,2,"36.00","40.00","0.00",252,1
453,32,3,"26.00","30.00","5.50",253,6
454,74,1,"90.00","99.00","5.00",254,2
455,93,2,"46.00","55.00","4.50",255,4
456,44,1,"36.00","40.00","0.00",256,1
457,62,4,"90.00","99.00","5.50",257,6
458,92,2,"46.00","55.00","3.00",258,5
459,63,2,"110.00","120.00","5.00",259,2
460,6,1,"14.00","16.00","0.00",260,1
461,52,1,"80.00","89.00","0.00",261,1
462,93,1,"46.00","55.00","5.50",262,6
463,79,2,"140.00","149.00","3.00",263,5
464,70,1,"110.00","120.00","5.50",264,6
465,21,2,"21.00","25.00","0.00",265,1
466,72,1,"90.00","99.00","0.00",266,1
467,15,1,"18.00","20.00","6.00",267,3
468,53,1,"80.00","89.00","0.00",268,1
469,55,2,"90.00","99.00","5.00",269,2
470,97,4,"50.00","59.00","6.00",270,3
471,99,2,"50.00","59.00","6.00",271,3
472,89,2,"46.00","55.00","3.00",272,5
473,22,2,"21.00","25.00","0.00",273,1
474,10,1,"16.00","18.00","0.00",274,1
475,59,2,"90.00","99.00","3.00",275,5
476,66,1,"110.00","120.00","5.50",276,6
477,31,2,"26.00","30.00","5.00",277,2
478,32,2,"26.00","30.00","0.00",278,1
479,20,2,"18.00","20.00","0.00",279,1
480,16,1,"18.00","20.00","0.00",280,1
481,17,1,"18.00","20.00","3.00",281,5
482,21,3,"21.00","25.00","3.00",282,5
483,6,4,"14.00","16.00","6.00",283,3
484,68,1,"110.00","120.00","5.00",284,2
485,100,1,"50.00","59.00","0.00",285,1
486,18,2,"18.00","20.00","0.00",286,1
487,44,1,"36.00","40.00","4.50",287,4
488,72,1,"90.00","99.00","0.00",288,1
489,45,2,"26.00","30.00","5.50",289,6
490,96,2,"50.00","59.00","5.00",290,2
491,82,1,"140.00","149.00","0.00",291,1
492,63,1,"110.00","120.00","4.50",292,4
493,48,3,"26.00","30.00","0.00",293,1
494,3,1,"22.00","26.00","5.50",294,6
495,80,1,"140.00","149.00","0.00",295,1
496,26,1,"24.00","28.00","4.50",296,4
497,92,1,"46.00","55.00","5.50",297,6
498,44,3,"36.00","40.00","5.00",298,2
499,9,2,"16.00","18.00","0.00",299,1
500,59,2,"90.00","99.00","5.50",300,6
501,71,1,"90.00","99.00","0.00",217,1
502,61,1,"90.00","99.00","0.00",240,1
503,96,2,"50.00","59.00","0.00",229,1
504,66,1,"110.00","120.00","0.00",265,1
505,77,2,"90.00","99.00","0.00",210,1
506,2,4,"21.00","25.00","0.00",238,1
507,83,2,"140.00","149.00","0.00",232,1
508,26,2,"24.00","28.00","4.50",231,4
509,78,1,"90.00","99.00","0.00",287,1
510,82,2,"140.00","149.00","0.00",223,1
511,91,2,"46.00","55.00","5.00",207,2
512,8,3,"14.00","16.00","0.00",289,1
513,47,1,"26.00","30.00","0.00",256,1
514,77,1,"90.00","99.00","0.00",248,1
515,9,1,"16.00","18.00","4.50",202,4
516,38,3,"36.00","40.00","0.00",239,1
517,20,3,"18.00","20.00","0.00",202,1
518,15,2,"18.00","20.00","6.00",227,3
519,49,1,"26.00","30.00","0.00",248,1
520,31,2,"26.00","30.00","0.00",239,1
521,91,1,"46.00","55.00","5.50",261,6
522,45,1,"26.00","30.00","5.00",289,2
523,36,1,"36.00","40.00","5.50",232,6
524,50,2,"26.00","30.00","0.00",245,1
525,71,2,"90.00","99.00","0.00",248,1
526,99,1,"50.00","59.00","6.00",249,3
527,22,1,"21.00","25.00","0.00",250,1
528,57,2,"90.00","99.00","4.50",285,4
529,62,1,"90.00","99.00","5.50",206,6
530,82,2,"140.00","149.00","5.50",261,6
531,47,2,"26.00","30.00","3.00",208,5
532,54,1,"80.00","89.00","0.00",250,1
533,37,2,"36.00","40.00","0.00",215,1
534,47,2,"26.00","30.00","3.00",300,5
535,83,1,"140.00","149.00","0.00",208,1
536,46,3,"26.00","30.00","0.00",224,1
537,22,1,"21.00","25.00","3.00",222,5
538,57,4,"90.00","99.00","5.00",212,2
539,41,2,"32.00","36.00","4.50",277,4
540,68,4,"110.00","120.00","0.00",229,1
541,14,2,"18.00","20.00","0.00",228,1
542,20,2,"18.00","20.00","5.50",203,6
543,11,1,"16.00","18.00","0.00",283,1
544,49,2,"26.00","30.00","0.00",209,1
545,89,1,"46.00","55.00","5.50",293,6
546,56,4,"90.00","99.00","0.00",296,1
547,81,2,"140.00","149.00","0.00",286,1
548,17,1,"18.00","20.00","5.00",226,2
549,76,1,"90.00","99.00","0.00",207,1
550,48,1,"26.00","30.00","0.00",218,1
551,52,4,"80.00","89.00","0.00",290,1
552,66,2,"110.00","120.00","5.50",205,6
553,16,2,"18.00","20.00","0.00",273,1
554,62,1,"90.00","99.00","4.50",264,4
555,34,1,"26.00","30.00","3.00",225,5
556,33,4,"26.00","30.00","0.00",274,1
557,14,2,"18.00","20.00","0.00",253,1
558,50,3,"26.00","30.00","0.00",290,1
559,7,3,"14.00","16.00","5.50",217,6
560,63,2,"110.00","120.00","6.00",270,3
561,64,2,"110.00","120.00","5.00",236,2
562,71,1,"90.00","99.00","0.00",277,1
563,66,1,"110.00","120.00","4.50",209,4
564,52,1,"80.00","89.00","6.00",234,3
565,100,2,"50.00","59.00","5.50",257,6
566,95,1,"50.00","59.00","5.00",227,2
567,96,2,"50.00","59.00","5.50",258,6
568,3,2,"22.00","26.00","3.00",264,5
569,9,2,"16.00","18.00","0.00",246,1
570,69,1,"110.00","120.00","0.00",238,1
571,39,1,"32.00","36.00","0.00",282,1
572,35,4,"26.00","30.00","3.00",268,5
573,7,2,"14.00","16.00","5.50",229,6
574,63,2,"110.00","120.00","0.00",297,1
575,50,1,"26.00","30.00","5.50",287,6
576,25,2,"24.00","28.00","5.50",274,6
577,48,1,"26.00","30.00","4.50",253,4
578,31,1,"26.00","30.00","5.50",261,6
579,58,4,"90.00","99.00","4.50",242,4
580,76,2,"90.00","99.00","4.50",231,4
581,50,2,"26.00","30.00","0.00",265,1
582,47,1,"26.00","30.00","0.00",254,1
583,78,1,"90.00","99.00","5.00",241,2
584,39,1,"32.00","36.00","0.00",276,1
585,31,1,"26.00","30.00","3.00",217,5
586,98,3,"50.00","59.00","4.50",252,4
587,27,2,"32.00","36.00","0.00",298,1
588,40,2,"32.00","36.00","5.50",288,6
589,90,1,"46.00","55.00","0.00",224,1
590,56,1,"90.00","99.00","0.00",286,1
591,65,4,"110.00","120.00","5.00",241,2
592,77,2,"90.00","99.00","0.00",211,1
593,95,2,"50.00","59.00","0.00",250,1
594,60,2,"90.00","99.00","3.00",226,5
595,46,1,"26.00","30.00","0.00",242,1
596,93,2,"46.00","55.00","3.00",259,5
597,47,1,"26.00","30.00","0.00",243,1
598,60,2,"90.00","99.00","0.00",292,1
599,45,1,"26.00","30.00","6.00",230,3
600,52,2,"80.00","89.00","0.00",294,1
