id_venta_detalle,id_articulo,cantidad,precio_compra,precio_venta,descuento,id_venta,id_promocion
1,78,1,"90.00","99.00","6.00",1,3
2,6,4,"14.00","16.00","3.00",2,5
3,1,1,"21.00","25.00","5.50",3,6
4,85,3,"140.00","149.00","4.50",4,4
5,39,1,"32.00","36.00","0.00",5,1
6,68,3,"110.00","120.00","0.00",6,1
7,46,3,"26.00","30.00","5.00",7,2
8,32,2,"26.00","30.00","3.00",8,5
9,52,2,"80.00","89.00","0.00",9,1
10,10,1,"16.00","18.00","0.00",10,1
11,50,1,"26.00","30.00","3.00",11,5
12,3,1,"22.00","26.00","0.00",12,1
13,86,1,"140.00","149.00","3.00",13,5
14,27,2,"32.00","36.00","5.00",14,2
15,18,1,"18.00","20.00","0.00",15,1
16,62,1,"90.00","99.00","0.00",16,1
17,74,1,"90.00","99.00","0.00",17,1
18,73,1,"90.00","99.00","6.00",18,3
19,6,1,"14.00","16.00","4.50",19,4
20,26,1,"24.00","28.00","0.00",20,1
21,79,3,"140.00","149.00","5.50",21,6
22,73,2,"90.00","99.00","0.00",22,1
23,63,1,"110.00","120.00","3.00",23,5
24,90,3,"46.00","55.00","0.00",24,1
25,61,1,"90.00","99.00","0.00",25,1
26,71,1,"90.00","99.00","5.00",26,2
27,33,1,"26.00","30.00","6.00",27,3
28,21,3,"21.00","25.00","0.00",28,1
29,66,1,"110.00","120.00","3.00",29,5
30,98,1,"50.00","59.00","3.00",30,5
31,37,2,"36.00","40.00","5.00",31,2
32,19,2,"18.00","20.00","3.00",32,5
33,64,1,"110.00","120.00","0.00",33,1
34,38,1,"36.00","40.00","5.50",34,6
35,83,1,"140.00","149.00","3.00",35,5
36,14,4,"18.00","20.00","0.00",36,1
37,2,1,"21.00","25.00","0.00",37,1
38,9,1,"16.00","18.00","4.50",38,4
39,80,2,"140.00","149.00","5.50",39,6
40,71,2,"90.00","99.00","0.00",40,1
41,48,3,"26.00","30.00","3.00",41,5
42,7,1,"14.00","16.00","5.50",42,6
43,43,3,"36.00","40.00","0.00",43,1
44,14,4,"18.00","20.00","0.00",44,1
45,45,2,"26.00","30.00","5.00",45,2
46,71,2,"90.00","99.00","0.00",46,1
47,27,2,"32.00","36.00","5.00",47,2
48,80,2,"140.00","149.00","0.00",48,1
49,3,1,"22.00","26.00","0.00",49,1
50,70,2,"110.00","120.00","0.00",50,1
51,21,2,"21.00","25.00","0.00",51,1
52,90,1,"46.00","55.00","0.00",52,1
53,96,1,"50.00","59.00","5.00",53,2
54,16,2,"18.00","20.00","0.00",54,1
55,87,2,"46.00","55.00","5.00",55,2
56,65,1,"110.00","120.00","0.00",56,1
57,36,1,"36.00","40.00","3.00",57,5
58,50,2,"26.00","30.00","0.00",58,1
59,32,2,"26.00","30.00","5.00",59,2
60,51,2,"80.00","89.00","0.00",60,1
61,53,3,"80.00","89.00","0.00",61,1
62,69,2,"110.00","120.00","0.00",62,1
63,41,2,"32.00","36.00","0.00",63,1
64,21,2,"21.00","25.00","0.00",64,1
65,94,3,"46.00","55.00","0.00",65,1
66,85,1,"140.00","149.00","0.00",66,1
67,21,3,"21.00","25.00","0.00",67,1
68,64,4,"110.00","120.00","4.50",68,4
69,19,1,"18.00","20.00","5.00",69,2
70,25,2,"24.00","28.00","3.00",70,5
71,11,1,"16.00","18.00","6.00",71,3
72,90,1,"46.00","55.00","0.00",72,1
73,68,1,"110.00","120.00","6.00",73,3
74,22,1,"21.00","25.00","5.00",74,2
75,87,2,"46.00","55.00","4.50",75,4
76,92,2,"46.00","55.00","0.00",76,1
77,16,2,"18.00","20.00","0.00",77,1
78,54,2,"80.00","89.00","0.00",78,1
79,46,3,"26.00","30.00","0.00",79,1
80,63,1,"110.00","120.00","6.00",80,3
81,36,4,"36.00","40.00","4.50",81,4
82,35,2,"26.00","30.00","3.00",82,5
83,48,2,"26.00","30.00","6.00",83,3
84,60,1,"90.00","99.00","0.00",84,1
85,58,1,"90.00","99.00","3.00",85,5
86,57,2,"90.00","99.00","3.00",86,5
87,76,1,"90.00","99.00","0.00",87,1
88,43,1,"36.00","40.00","3.00",88,5
89,74,1,"90.00","99.00","5.50",89,6
90,38,1,"36.00","40.00","5.50",90,6
91,1,1,"21.00","25.00","5.50",91,6
92,43,1,"36.00","40.00","4.50",92,4
93,29,4,"32.00","36.00","0.00",93,1
94,39,1,"32.00","36.00","0.00",94,1
95,94,3,"46.00","55.00","3.00",95,5
96,47,3,"26.00","30.00","0.00",96,1
97,11,1,"16.00","18.00","5.00",97,2
98,32,1,"26.00","30.00","5.50",98,6
99,22,1,"21.00","25.00","0.00",99,1
100,87,1,"46.00","55.00","3.00",100,5
101,16,1,"18.00","20.00","4.50",29,4
102,48,4,"26.00","30.00","4.50",10,4
103,94,2,"46.00","55.00","4.50",79,4
104,77,2,"90.00","99.00","0.00",79,1
105,60,1,"90.00","99.00","0.00",29,1
106,40,2,"32.00","36.00","0.00",75,1
107,68,1,"110.00","120.00","0.00",73,1
108,41,2,"32.00","36.00","0.00",19,1
