id_venta_detalle,id_articulo,cantidad,precio_compra,precio_venta,descuento,id_venta,id_promocion
601,76,1,"90.00","99.00","0.00",301,1
602,90,1,"46.00","55.00","0.00",302,1
603,96,2,"50.00","59.00","0.00",303,1
604,27,2,"32.00","36.00","3.00",304,5
605,75,1,"90.00","99.00","0.00",305,1
606,26,4,"24.00","28.00","4.50",306,4
607,83,1,"140.00","149.00","5.50",307,6
608,16,3,"18.00","20.00","0.00",308,1
609,30,2,"26.00","30.00","5.00",309,2
610,25,4,"24.00","28.00","3.00",310,5
611,100,1,"50.00","59.00","0.00",311,1
612,48,1,"26.00","30.00","0.00",312,1
613,79,4,"140.00","149.00","3.00",313,5
614,32,3,"26.00","30.00","6.00",314,3
615,93,1,"46.00","55.00","5.00",315,2
616,42,2,"36.00","40.00","0.00",316,1
617,80,2,"140.00","149.00","0.00",317,1
618,84,2,"140.00","149.00","0.00",318,1
619,82,2,"140.00","149.00","0.00",319,1
620,70,1,"110.00","120.00","6.00",320,3
621,42,1,"36.00","40.00","5.00",321,2
622,87,1,"46.00","55.00","0.00",322,1
623,81,4,"140.00","149.00","0.00",323,1
624,82,1,"140.00","149.00","0.00",324,1
625,10,2,"16.00","18.00","0.00",325,1
626,83,3,"140.00","149.00","5.50",326,6
627,55,2,"90.00","99.00","0.00",327,1
628,67,2,"110.00","120.00","5.50",328,6
629,31,4,"26.00","30.00","5.00",329,2
630,30,1,"26.00","30.00","4.50",330,4
631,55,1,"90.00","99.00","0.00",331,1
632,76,2,"90.00","99.00","5.50",332,6
633,40,4,"32.00","36.00","3.00",333,5
634,59,1,"90.00","99.00","3.00",334,5
635,73,4,"90.00","99.00","5.50",335,6
636,78,4,"90.00","99.00","0.00",336,1
637,39,1,"32.00","36.00","0.00",337,1
638,74,1,"90.00","99.00","3.00",338,5
639,19,2,"18.00","20.00","6.00",339,3
640,23,1,"21.00","25.00","0.00",340,1
641,64,1,"110.00","120.00","6.00",341,3
642,88,1,"46.00","55.00","0.00",342,1
643,6,3,"14.00","16.00","0.00",343,1
644,42,2,"36.00","40.00","5.50",344,6
645,53,1,"80.00","89.00","0.00",345,1
646,43,1,"36.00","40.00","4.50",346,4
647,88,1,"46.00","55.00","0.00",347,1
648,14,1,"18.00","20.00","0.00",348,1
649,66,2,"110.00","120.00","0.00",349,1
650,36,4,"36.00","40.00","0.00",350,1
651,4,2,"22.00","26.00","0.00",351,1
652,53,2,"80.00","89.00","0.00",352,1
653,21,1,"21.00","25.00","0.00",353,1
654,48,1,"26.00","30.00","4.50",354,4
655,5,4,"22.00","26.00","0.00",355,1
656,29,1,"32.00","36.00","3.00",356,5
657,44,1,"36.00","40.00","4.50",357,4
658,72,2,"90.00","99.00","5.50",358,6
659,82,1,"140.00","149.00","5.00",359,2
660,5,2,"22.00","26.00","3.00",360,5
661,50,2,"26.00","30.00","0.00",361,1
662,56,1,"90.00","99.00","0.00",362,1
663,13,2,"18.00","20.00","5.00",363,2
664,48,2,"26.00","30.00","0.00",364,1
665,1,4,"21.00","25.00","3.00",365,5
666,20,2,"18.00","20.00","5.00",366,2
667,91,1,"46.00","55.00","0.00",367,1
668,74,2,"90.00","99.00","5.50",368,6
669,4,1,"22.00","26.00","4.50",369,4
670,19,1,"18.00","20.00","0.00",370,1
671,26,1,"24.00","28.00","0.00",371,1
672,8,3,"14.00","16.00","0.00",372,1
673,54,1,"80.00","89.00","6.00",373,3
674,61,3,"90.00","99.00","5.50",374,6
675,5,4,"22.00","26.00","0.00",375,1
676,80,2,"140.00","149.00","6.00",376,3
677,34,1,"26.00","30.00","5.50",377,6
678,86,1,"140.00","149.00","0.00",378,1
679,62,4,"90.00","99.00","4.50",379,4
680,88,1,"46.00","55.00","0.00",380,1
681,11,4,"16.00","18.00","0.00",381,1
682,77,2,"90.00","99.00","5.00",382,2
683,3,1,"22.00","26.00","5.00",383,2
684,92,1,"46.00","55.00","0.00",384,1
685,10,3,"16.00","18.00","6.00",385,3
686,71,1,"90.00","99.00","0.00",386,1
687,72,1,"90.00","99.00","5.00",387,2
688,37,1,"36.00","40.00","0.00",388,1
689,55,1,"90.00","99.00","5.50",389,6
690,58,3,"90.00","99.00","0.00",390,1
691,66,2,"110.00","120.00","3.00",391,5
692,3,1,"22.00","26.00","6.00",392,3
693,85,4,"140.00","149.00","5.00",393,2
694,19,1,"18.00","20.00","3.00",394,5
695,25,1,"24.00","28.00","6.00",395,3
696,25,1,"24.00","28.00","0.00",396,1
697,8,1,"14.00","16.00","3.00",397,5
698,29,1,"32.00","36.00","0.00",398,1
699,60,2,"90.00","99.00","3.00",399,5
700,57,1,"90.00","99.00","0.00",400,1
701,50,1,"26.00","30.00","0.00",343,1
702,13,1,"18.00","20.00","5.50",393,6
703,97,4,"50.00","59.00","4.50",303,4
704,45,4,"26.00","30.00","3.00",337,5
705,96,4,"50.00","59.00","4.50",390,4
