id_venta,fecha,tipo_pago,monto_total,id_cliente,id_usuario,id_promotor
1,2019-05-29 17:1,Tarjeta,"93.00",58,10,3
2,2019-05-18 11:18,Efectivo,"61.00",49,4,1
3,2019-05-28 16:13,Tarjeta,"311.50",62,6,9
4,2019-05-20 9:4,Tarjeta,"591.50",66,7,1
5,2019-05-10 17:9,Efectivo,"255.50",6,4,7
6,2019-05-23 12:27,Efectivo,"524.50",40,7,1
7,2019-05-17 11:25,Tarjeta,"85.00",93,5,10
8,2019-05-11 12:4,Efectivo,"499.50",1,1,8
9,2019-05-12 14:53,Tarjeta,"528.50",71,5,1
10,2019-05-27 21:52,Efectivo,"246.00",1,10,7
11,2019-05-23 12:36,Efectivo,"27.00",72,3,4
12,2019-05-9 20:30,Efectivo,"194.50",4,6,1
13,2019-05-16 11:56,Tarjeta,"363.00",50,3,9
14,2019-05-22 15:54,Efectivo,"360.50",76,1,5
15,2019-05-13 17:59,Tarjeta,"100.00",49,7,4
16,2019-05-17 11:45,Efectivo,"182.00",73,2,1
17,2019-05-19 11:38,Efectivo,"119.00",48,8,1
18,2019-05-3 9:54,Efectivo,"573.00",58,2,1
19,2019-05-9 9:18,Efectivo,"236.50",18,7,9
20,2019-05-3 21:26,Tarjeta,"28.00",68,1,2
21,2019-05-26 20:1,Efectivo,"491.50",63,10,8
22,2019-05-20 14:9,Efectivo,"435.00",52,3,9
23,2019-05-27 17:1,Efectivo,"288.00",9,7,1
24,2019-05-10 16:5,Tarjeta,"165.00",56,7,10
25,2019-05-7 18:55,Efectivo,"334.00",43,2,1
26,2019-05-20 11:11,Efectivo,"94.00",9,2,1
27,2019-05-23 17:29,Efectivo,"117.50",39,4,7
28,2019-05-14 9:1,Tarjeta,"75.00",39,10,3
29,2019-05-21 21:27,Efectivo,"341.50",85,6,5
30,2019-05-5 12:33,Efectivo,"248.00",55,1,1
31,2019-05-24 14:17,Efectivo,"412.00",51,2,2
32,2019-05-31 10:14,Tarjeta,"290.50",75,5,6
33,2019-05-19 19:25,Efectivo,"140.50",42,7,1
34,2019-05-20 11:19,Efectivo,"34.50",54,6,5
35,2019-05-1 9:25,Efectivo,"146.00",41,8,1
36,2019-05-29 10:35,Efectivo,"80.00",83,8,4
37,2019-05-28 15:22,Efectivo,"77.50",66,7,1
38,2019-05-20 20:1,Tarjeta,"13.50",93,8,3
39,2019-05-10 16:41,Tarjeta,"314.50",64,5,1
40,2019-05-3 12:16,Tarjeta,"257.00",11,10,3
41,2019-05-28 12:23,Efectivo,"683.00",34,6,8
42,2019-05-13 15:36,Efectivo,"577.00",28,9,3
43,2019-05-25 14:32,Efectivo,"219.00",84,10,10
44,2019-05-25 16:36,Efectivo,"130.00",11,3,6
45,2019-05-5 12:39,Efectivo,"139.00",24,2,1
46,2019-05-25 14:26,Efectivo,"198.00",41,6,1
47,2019-05-16 20:19,Tarjeta,"107.00",7,7,10
48,2019-05-3 20:38,Tarjeta,"409.50",49,6,4
49,2019-05-9 13:40,Efectivo,"26.00",58,4,1
50,2019-05-21 13:29,Tarjeta,"264.50",78,5,7
51,2019-05-22 13:46,Efectivo,"105.00",79,3,9
52,2019-05-9 14:54,Efectivo,"55.00",56,10,1
53,2019-05-16 16:28,Tarjeta,"431.00",77,7,4
54,2019-05-12 14:24,Tarjeta,"40.00",30,7,7
55,2019-05-7 14:51,Efectivo,"105.00",100,3,1
56,2019-05-3 11:51,Efectivo,"120.00",65,7,5
57,2019-05-30 19:11,Efectivo,"37.00",87,4,1
58,2019-05-19 19:38,Tarjeta,"135.00",11,2,2
59,2019-05-26 17:57,Efectivo,"55.00",54,4,6
60,2019-05-14 15:34,Efectivo,"376.00",42,5,6
61,2019-05-29 14:26,Tarjeta,"360.00",13,1,9
62,2019-05-5 16:20,Efectivo,"531.50",72,4,1
63,2019-05-17 12:43,Tarjeta,"72.00",44,7,6
64,2019-05-29 19:45,Tarjeta,"50.00",64,1,1
65,2019-05-10 19:49,Tarjeta,"376.00",67,4,3
66,2019-05-30 17:28,Tarjeta,"311.50",67,6,6
67,2019-05-7 21:57,Efectivo,"187.50",22,1,2
68,2019-05-22 21:45,Tarjeta,"475.50",99,5,1
69,2019-05-11 17:56,Efectivo,"15.00",7,10,5
70,2019-05-6 11:22,Efectivo,"157.00",30,5,9
71,2019-05-12 16:15,Tarjeta,"101.00",6,2,1
72,2019-05-14 14:53,Efectivo,"55.00",2,1,2
73,2019-05-19 11:49,Efectivo,"254.50",50,2,4
74,2019-05-23 12:8,Efectivo,"20.00",11,7,10
75,2019-05-15 20:46,Efectivo,"227.00",34,10,8
76,2019-05-26 16:27,Efectivo,"110.00",19,8,1
77,2019-05-19 16:5,Tarjeta,"99.00",70,8,7
78,2019-05-28 13:14,Efectivo,"382.50",17,2,6
79,2019-05-31 20:28,Efectivo,"393.50",96,5,9
80,2019-05-3 19:41,Tarjeta,"114.00",18,1,2
81,2019-05-20 13:41,Efectivo,"155.50",99,9,9
82,2019-05-5 12:27,Efectivo,"82.50",85,9,1
83,2019-05-16 13:37,Efectivo,"54.00",23,7,8
84,2019-05-18 13:40,Tarjeta,"251.50",39,9,2
