id_venta,fecha,tipo_pago,monto_total,id_cliente,id_usuario,id_promotor
101,2019-06-3 19:40,Efectivo,"143.00",91,7,3
102,2019-06-20 17:11,Efectivo,"167.50",81,2,4
103,2019-06-1 11:41,Tarjeta,"36.00",68,9,1
104,2019-06-5 21:3,Efectivo,"113.50",54,4,1
105,2019-06-17 13:34,Efectivo,"278.00",80,10,1
106,2019-06-1 18:5,Tarjeta,"54.00",53,8,2
107,2019-06-25 9:21,Efectivo,"240.00",94,1,3
108,2019-06-27 15:27,Efectivo,"643.00",52,3,8
109,2019-06-3 16:51,Tarjeta,"194.50",2,1,7
110,2019-06-8 10:2,Tarjeta,"500.50",18,3,1
111,2019-06-20 21:21,Tarjeta,"55.50",37,2,7
112,2019-06-22 21:44,Efectivo,"726.50",55,5,5
113,2019-06-6 14:30,Efectivo,"318.50",22,3,1
114,2019-06-15 9:19,Efectivo,"198.00",98,9,1
115,2019-06-10 12:11,Tarjeta,"272.00",79,8,9
116,2019-06-30 18:34,Efectivo,"73.00",89,2,1
117,2019-06-17 17:39,Efectivo,"94.50",74,6,1
118,2019-06-4 14:30,Efectivo,"412.00",81,8,1
119,2019-06-3 18:19,Efectivo,"178.00",98,3,1
120,2019-06-18 16:1,Efectivo,"73.50",86,6,3
121,2019-06-20 21:40,Efectivo,"112.50",1,5,1
122,2019-06-6 18:47,Efectivo,"293.50",41,2,1
123,2019-06-19 19:44,Efectivo,"190.00",95,4,5
124,2019-06-9 12:9,Efectivo,"213.00",54,5,4
125,2019-06-1 15:35,Efectivo,"94.50",43,9,9
126,2019-06-18 17:10,Efectivo,"298.00",55,1,1
127,2019-06-6 11:59,Efectivo,"48.00",81,9,4
128,2019-06-15 9:17,Efectivo,"398.00",62,10,1
129,2019-06-19 13:39,Tarjeta,"537.00",59,9,1
130,2019-06-16 19:53,Efectivo,"103.50",11,9,1
131,2019-06-14 15:57,Efectivo,"689.00",8,3,1
132,2019-06-7 11:3,Efectivo,"583.50",94,4,9
133,2019-06-19 11:21,Tarjeta,"72.00",6,7,1
134,2019-06-13 19:24,Efectivo,"240.00",37,1,5
135,2019-06-6 21:25,Efectivo,"94.00",20,9,1
136,2019-06-14 18:34,Efectivo,"198.00",90,6,1
137,2019-06-6 12:48,Efectivo,"24.50",52,2,7
138,2019-06-30 20:19,Tarjeta,"591.00",73,8,1
139,2019-06-11 18:11,Tarjeta,"333.50",71,2,1
140,2019-06-4 21:33,Efectivo,"134.00",97,7,9
141,2019-06-4 11:18,Efectivo,"114.50",22,2,2
142,2019-06-29 20:18,Tarjeta,"125.50",16,9,1
143,2019-06-20 19:1,Efectivo,"221.50",63,8,1
144,2019-06-6 16:44,Tarjeta,"110.00",43,10,1
145,2019-06-4 10:43,Tarjeta,"155.00",50,8,8
146,2019-06-20 15:39,Tarjeta,"258.00",91,4,10
147,2019-06-24 20:19,Tarjeta,"178.00",79,3,1
148,2019-06-22 11:37,Tarjeta,"310.50",63,6,1
149,2019-06-11 16:12,Efectivo,"51.50",99,9,7
150,2019-06-10 19:2,Efectivo,"108.50",63,10,2
151,2019-06-3 14:16,Efectivo,"28.00",31,4,2
152,2019-06-19 16:18,Efectivo,"103.50",88,9,8
153,2019-06-30 13:53,Tarjeta,"449.50",94,5,3
154,2019-06-21 18:34,Efectivo,"25.00",63,10,4
155,2019-06-9 21:41,Efectivo,"18.00",26,8,6
156,2019-06-4 17:9,Tarjeta,"642.00",41,8,10
157,2019-06-18 11:19,Efectivo,"327.00",99,1,4
158,2019-06-17 19:25,Tarjeta,"91.00",100,9,1
